[       5 points] regret_avg: 3.0138 | regret_pref: 1.0000 | reward_optimal: 0.4611 | reward_pref: -2.5527 | reward_npref: -0.5463
[      10 points] regret_avg: 3.6859 | regret_pref: 1.0000 | reward_optimal: 2.4140 | reward_pref: -1.2719 | reward_npref: 0.5229
[      15 points] regret_avg: 8.5052 | regret_pref: 1.0000 | reward_optimal: 15.3445 | reward_pref: 6.8393 | reward_npref: 3.8694
[      20 points] regret_avg: 8.5052 | regret_pref: 1.0000 | reward_optimal: 15.8378 | reward_pref: 7.3326 | reward_npref: 4.0813
[      25 points] regret_avg: 9.3720 | regret_pref: 2.0000 | reward_optimal: 16.7531 | reward_pref: 7.3812 | reward_npref: 4.4669
[      30 points] regret_avg: 14.8513 | regret_pref: 3.0000 | reward_optimal: 16.6109 | reward_pref: 1.7596 | reward_npref: 1.0228
[      35 points] regret_avg: 14.8513 | regret_pref: 3.0000 | reward_optimal: 29.8778 | reward_pref: 15.0265 | reward_npref: 7.7062
[      40 points] regret_avg: 19.7888 | regret_pref: 4.0000 | reward_optimal: 29.2060 | reward_pref: 9.4171 | reward_npref: 4.0042
[      45 points] regret_avg: 20.1461 | regret_pref: 5.0000 | reward_optimal: 30.0556 | reward_pref: 9.9095 | reward_npref: 4.6924
[      50 points] regret_avg: 24.2111 | regret_pref: 5.0000 | reward_optimal: 30.1230 | reward_pref: 5.9119 | reward_npref: -4.0300
[      55 points] regret_avg: 26.3406 | regret_pref: 5.0000 | reward_optimal: 30.6937 | reward_pref: 4.3531 | reward_npref: -8.1358
[      60 points] regret_avg: 31.8627 | regret_pref: 5.0000 | reward_optimal: 30.8625 | reward_pref: -1.0002 | reward_npref: -17.7571
[      65 points] regret_avg: 34.3078 | regret_pref: 6.0000 | reward_optimal: 31.4640 | reward_pref: -2.8438 | reward_npref: -18.9902
[      70 points] regret_avg: 40.8754 | regret_pref: 6.0000 | reward_optimal: 39.8846 | reward_pref: -0.9908 | reward_npref: -17.5182
