[       5 points] regret_avg: 0.1410 | regret_pref: 0.0000 | reward_optimal: 0.3336 | reward_pref: 0.1926 | reward_npref: 0.1818
[      10 points] regret_avg: 0.3459 | regret_pref: 0.0000 | reward_optimal: 0.7053 | reward_pref: 0.3594 | reward_npref: 0.0312
[      15 points] regret_avg: 0.5844 | regret_pref: 0.0000 | reward_optimal: 1.0870 | reward_pref: 0.5026 | reward_npref: 0.1461
[      20 points] regret_avg: 0.9119 | regret_pref: 1.0000 | reward_optimal: 1.4810 | reward_pref: 0.5691 | reward_npref: 0.2707
[      25 points] regret_avg: 1.0597 | regret_pref: 1.0000 | reward_optimal: 1.7448 | reward_pref: 0.6851 | reward_npref: 0.1420
[      30 points] regret_avg: 1.7206 | regret_pref: 1.0000 | reward_optimal: 2.0874 | reward_pref: 0.3669 | reward_npref: -0.3538
[      35 points] regret_avg: 1.8025 | regret_pref: 1.0000 | reward_optimal: 2.4485 | reward_pref: 0.6460 | reward_npref: -0.1555
[      40 points] regret_avg: 1.9997 | regret_pref: 1.0000 | reward_optimal: 2.8013 | reward_pref: 0.8017 | reward_npref: -0.3543
[      45 points] regret_avg: 1.9997 | regret_pref: 1.0000 | reward_optimal: 3.3393 | reward_pref: 1.3396 | reward_npref: -0.2384
[      50 points] regret_avg: 1.9997 | regret_pref: 1.0000 | reward_optimal: 3.6555 | reward_pref: 1.6558 | reward_npref: -0.4867
[      55 points] regret_avg: 2.1968 | regret_pref: 1.0000 | reward_optimal: 4.0932 | reward_pref: 1.8964 | reward_npref: -0.2879
[      60 points] regret_avg: 2.4831 | regret_pref: 2.0000 | reward_optimal: 4.5058 | reward_pref: 2.0227 | reward_npref: -0.1274
[      65 points] regret_avg: 2.6095 | regret_pref: 2.0000 | reward_optimal: 5.2331 | reward_pref: 2.6236 | reward_npref: 0.1520
[      70 points] regret_avg: 2.9738 | regret_pref: 2.0000 | reward_optimal: 5.5416 | reward_pref: 2.5678 | reward_npref: -0.0820
[      75 points] regret_avg: 3.2334 | regret_pref: 2.0000 | reward_optimal: 5.8243 | reward_pref: 2.5909 | reward_npref: -0.2665
[      80 points] regret_avg: 4.0499 | regret_pref: 3.0000 | reward_optimal: 6.1921 | reward_pref: 2.1422 | reward_npref: -0.6757
