[       5 points] regret_avg: 5.1310 | regret_pref: 1.0000 | reward_optimal: 0.1625 | reward_pref: -4.9685 | reward_npref: -0.5458
[      10 points] regret_avg: 7.6024 | regret_pref: 2.0000 | reward_optimal: 5.2640 | reward_pref: -2.3384 | reward_npref: 3.0020
[      15 points] regret_avg: 7.8793 | regret_pref: 3.0000 | reward_optimal: 6.2586 | reward_pref: -1.6207 | reward_npref: 3.9966
[      20 points] regret_avg: 9.2068 | regret_pref: 3.0000 | reward_optimal: 6.7036 | reward_pref: -2.5033 | reward_npref: 2.2429
[      25 points] regret_avg: 13.8707 | regret_pref: 3.0000 | reward_optimal: 16.1468 | reward_pref: 2.2761 | reward_npref: 3.4470
[      30 points] regret_avg: 14.4848 | regret_pref: 3.0000 | reward_optimal: 16.5586 | reward_pref: 2.0738 | reward_npref: 1.5727
[      35 points] regret_avg: 24.4706 | regret_pref: 3.0000 | reward_optimal: 16.2726 | reward_pref: -8.1980 | reward_npref: -10.1751
[      40 points] regret_avg: 26.0547 | regret_pref: 4.0000 | reward_optimal: 16.5352 | reward_pref: -9.5195 | reward_npref: -11.3810
[      45 points] regret_avg: 30.0472 | regret_pref: 4.0000 | reward_optimal: 29.3985 | reward_pref: -0.6487 | reward_npref: -8.0318
[      50 points] regret_avg: 35.4268 | regret_pref: 4.0000 | reward_optimal: 29.5585 | reward_pref: -5.8684 | reward_npref: -15.6339
[      55 points] regret_avg: 39.2655 | regret_pref: 5.0000 | reward_optimal: 35.9056 | reward_pref: -3.3599 | reward_npref: -11.6123
[      60 points] regret_avg: 41.9155 | regret_pref: 5.0000 | reward_optimal: 36.6227 | reward_pref: -5.2927 | reward_npref: -13.7038
[      65 points] regret_avg: 42.5016 | regret_pref: 6.0000 | reward_optimal: 37.6540 | reward_pref: -4.8477 | reward_npref: -13.0339
[      70 points] regret_avg: 44.0272 | regret_pref: 6.0000 | reward_optimal: 38.0101 | reward_pref: -6.0172 | reward_npref: -15.0838
[      75 points] regret_avg: 47.6993 | regret_pref: 7.0000 | reward_optimal: 42.7110 | reward_pref: -4.9883 | reward_npref: -13.8970
[      80 points] regret_avg: 48.0843 | regret_pref: 8.0000 | reward_optimal: 43.3658 | reward_pref: -4.7186 | reward_npref: -13.3555
[      85 points] regret_avg: 49.4987 | regret_pref: 9.0000 | reward_optimal: 45.3816 | reward_pref: -4.1171 | reward_npref: -11.3396
[      90 points] regret_avg: 54.9472 | regret_pref: 10.0000 | reward_optimal: 45.8026 | reward_pref: -9.1446 | reward_npref: -15.4205
[      95 points] regret_avg: 54.9472 | regret_pref: 10.0000 | reward_optimal: 57.2259 | reward_pref: 2.2788 | reward_npref: -10.3442
[     100 points] regret_avg: 57.8498 | regret_pref: 11.0000 | reward_optimal: 61.6765 | reward_pref: 3.8267 | reward_npref: -6.9746
[     105 points] regret_avg: 61.9892 | regret_pref: 11.0000 | reward_optimal: 62.1529 | reward_pref: 0.1636 | reward_npref: -13.1857
[     110 points] regret_avg: 62.9772 | regret_pref: 12.0000 | reward_optimal: 62.4824 | reward_pref: -0.4948 | reward_npref: -13.7068
[     115 points] regret_avg: 64.3440 | regret_pref: 12.0000 | reward_optimal: 62.6385 | reward_pref: -1.7055 | reward_npref: -21.2436
[     120 points] regret_avg: 64.6226 | regret_pref: 12.0000 | reward_optimal: 63.7932 | reward_pref: -0.8294 | reward_npref: -20.9634
[     125 points] regret_avg: 67.7826 | regret_pref: 12.0000 | reward_optimal: 64.4231 | reward_pref: -3.3595 | reward_npref: -24.4633
[     130 points] regret_avg: 77.4616 | regret_pref: 13.0000 | reward_optimal: 64.3211 | reward_pref: -13.1405 | reward_npref: -26.5140
[     135 points] regret_avg: 77.4616 | regret_pref: 13.0000 | reward_optimal: 74.9619 | reward_pref: -2.4997 | reward_npref: -22.4166
