[       5 points] regret_avg: 0.4988 | regret_pref: 1.0000 | reward_optimal: 0.4739 | reward_pref: -0.0249 | reward_npref: 0.1385
[      10 points] regret_avg: 0.9538 | regret_pref: 2.0000 | reward_optimal: 1.0163 | reward_pref: 0.0625 | reward_npref: 0.2327
[      15 points] regret_avg: 1.1180 | regret_pref: 2.0000 | reward_optimal: 1.4531 | reward_pref: 0.3352 | reward_npref: 0.4286
[      20 points] regret_avg: 1.3242 | regret_pref: 2.0000 | reward_optimal: 1.9676 | reward_pref: 0.6434 | reward_npref: 0.7118
[      25 points] regret_avg: 1.7874 | regret_pref: 3.0000 | reward_optimal: 2.4744 | reward_pref: 0.6870 | reward_npref: 0.9320
[      30 points] regret_avg: 2.1021 | regret_pref: 4.0000 | reward_optimal: 2.8051 | reward_pref: 0.7030 | reward_npref: 0.9827
[      35 points] regret_avg: 2.1021 | regret_pref: 4.0000 | reward_optimal: 3.6671 | reward_pref: 1.5650 | reward_npref: 1.4521
[      40 points] regret_avg: 2.5145 | regret_pref: 5.0000 | reward_optimal: 3.8904 | reward_pref: 1.3759 | reward_npref: 1.3624
[      45 points] regret_avg: 2.7291 | regret_pref: 5.0000 | reward_optimal: 4.3464 | reward_pref: 1.6173 | reward_npref: 1.5194
[      50 points] regret_avg: 3.1137 | regret_pref: 5.0000 | reward_optimal: 4.6528 | reward_pref: 1.5391 | reward_npref: 1.2742
[      55 points] regret_avg: 3.4698 | regret_pref: 5.0000 | reward_optimal: 5.0046 | reward_pref: 1.5348 | reward_npref: 1.1182
[      60 points] regret_avg: 3.7581 | regret_pref: 6.0000 | reward_optimal: 5.4138 | reward_pref: 1.6557 | reward_npref: 1.2791
[      65 points] regret_avg: 4.2635 | regret_pref: 7.0000 | reward_optimal: 5.7441 | reward_pref: 1.4805 | reward_npref: 1.1778
[      70 points] regret_avg: 4.5029 | regret_pref: 7.0000 | reward_optimal: 6.2417 | reward_pref: 1.7388 | reward_npref: 1.3604
[      75 points] regret_avg: 4.9606 | regret_pref: 8.0000 | reward_optimal: 6.5908 | reward_pref: 1.6302 | reward_npref: 1.2680
[      80 points] regret_avg: 5.3088 | regret_pref: 9.0000 | reward_optimal: 6.9969 | reward_pref: 1.6881 | reward_npref: 1.3561
[      85 points] regret_avg: 5.6814 | regret_pref: 10.0000 | reward_optimal: 7.5802 | reward_pref: 1.8987 | reward_npref: 1.8050
[      90 points] regret_avg: 5.8976 | regret_pref: 11.0000 | reward_optimal: 7.9440 | reward_pref: 2.0464 | reward_npref: 1.9797
[      95 points] regret_avg: 6.1202 | regret_pref: 11.0000 | reward_optimal: 8.8782 | reward_pref: 2.7580 | reward_npref: 2.2511
[     100 points] regret_avg: 6.5547 | regret_pref: 11.0000 | reward_optimal: 9.1345 | reward_pref: 2.5797 | reward_npref: 1.8330
[     105 points] regret_avg: 6.8390 | regret_pref: 11.0000 | reward_optimal: 9.4623 | reward_pref: 2.6233 | reward_npref: 1.7990
[     110 points] regret_avg: 7.0429 | regret_pref: 11.0000 | reward_optimal: 10.3376 | reward_pref: 3.2947 | reward_npref: 2.2293
[     115 points] regret_avg: 7.4302 | regret_pref: 11.0000 | reward_optimal: 10.8127 | reward_pref: 3.3826 | reward_npref: 2.2604
[     120 points] regret_avg: 7.6770 | regret_pref: 11.0000 | reward_optimal: 11.8434 | reward_pref: 4.1665 | reward_npref: 2.9228
[     125 points] regret_avg: 8.1871 | regret_pref: 11.0000 | reward_optimal: 12.2133 | reward_pref: 4.0262 | reward_npref: 2.6452
[     130 points] regret_avg: 8.5822 | regret_pref: 11.0000 | reward_optimal: 13.3239 | reward_pref: 4.7417 | reward_npref: 3.2333
[     135 points] regret_avg: 8.5822 | regret_pref: 11.0000 | reward_optimal: 14.3702 | reward_pref: 5.7880 | reward_npref: 3.5360
[     140 points] regret_avg: 8.6951 | regret_pref: 11.0000 | reward_optimal: 14.7645 | reward_pref: 6.0694 | reward_npref: 3.7021
[     145 points] regret_avg: 8.9204 | regret_pref: 11.0000 | reward_optimal: 15.1967 | reward_pref: 6.2763 | reward_npref: 3.6474
[     150 points] regret_avg: 9.1816 | regret_pref: 11.0000 | reward_optimal: 15.6044 | reward_pref: 6.4228 | reward_npref: 3.3972
[     155 points] regret_avg: 9.7709 | regret_pref: 11.0000 | reward_optimal: 15.9966 | reward_pref: 6.2258 | reward_npref: 3.1631
[     160 points] regret_avg: 9.7709 | regret_pref: 11.0000 | reward_optimal: 16.3477 | reward_pref: 6.5769 | reward_npref: 2.6988
[     165 points] regret_avg: 10.3248 | regret_pref: 12.0000 | reward_optimal: 17.1267 | reward_pref: 6.8019 | reward_npref: 2.9512
[     170 points] regret_avg: 10.7845 | regret_pref: 12.0000 | reward_optimal: 17.2713 | reward_pref: 6.4868 | reward_npref: 2.4288
[     175 points] regret_avg: 10.7845 | regret_pref: 12.0000 | reward_optimal: 18.0597 | reward_pref: 7.2752 | reward_npref: 2.7754
[     180 points] regret_avg: 11.0339 | regret_pref: 12.0000 | reward_optimal: 18.4735 | reward_pref: 7.4396 | reward_npref: 2.9327
[     185 points] regret_avg: 11.0339 | regret_pref: 12.0000 | reward_optimal: 18.6511 | reward_pref: 7.6173 | reward_npref: 2.7721
[     190 points] regret_avg: 11.2834 | regret_pref: 12.0000 | reward_optimal: 19.2650 | reward_pref: 7.9815 | reward_npref: 3.0380
[     195 points] regret_avg: 11.5925 | regret_pref: 12.0000 | reward_optimal: 19.7643 | reward_pref: 8.1719 | reward_npref: 3.2215
[     200 points] regret_avg: 11.8426 | regret_pref: 13.0000 | reward_optimal: 20.1427 | reward_pref: 8.3001 | reward_npref: 3.4198
[     205 points] regret_avg: 11.9065 | regret_pref: 13.0000 | reward_optimal: 21.2060 | reward_pref: 9.2995 | reward_npref: 4.1035
[     210 points] regret_avg: 11.9065 | regret_pref: 13.0000 | reward_optimal: 21.5318 | reward_pref: 9.6253 | reward_npref: 3.6951
[     215 points] regret_avg: 12.3686 | regret_pref: 13.0000 | reward_optimal: 23.0500 | reward_pref: 10.6814 | reward_npref: 4.0113
[     220 points] regret_avg: 12.5922 | regret_pref: 14.0000 | reward_optimal: 23.2978 | reward_pref: 10.7056 | reward_npref: 4.0535
[     225 points] regret_avg: 12.5922 | regret_pref: 14.0000 | reward_optimal: 24.0895 | reward_pref: 11.4973 | reward_npref: 4.5257
[     230 points] regret_avg: 13.2762 | regret_pref: 15.0000 | reward_optimal: 24.3623 | reward_pref: 11.0861 | reward_npref: 4.2045
[     235 points] regret_avg: 13.4710 | regret_pref: 16.0000 | reward_optimal: 24.8256 | reward_pref: 11.3547 | reward_npref: 4.5157
[     240 points] regret_avg: 13.7381 | regret_pref: 16.0000 | reward_optimal: 25.1544 | reward_pref: 11.4163 | reward_npref: 4.5687
