[       5 points] regret_avg: 0.7084 | regret_pref: 0.0000 | reward_optimal: 0.1625 | reward_pref: -0.5458 | reward_npref: -4.9685
[      10 points] regret_avg: 2.2620 | regret_pref: 0.0000 | reward_optimal: 5.2640 | reward_pref: 3.0020 | reward_npref: -2.3384
[      15 points] regret_avg: 2.2620 | regret_pref: 0.0000 | reward_optimal: 6.2586 | reward_pref: 3.9966 | reward_npref: -1.6207
[      20 points] regret_avg: 4.4607 | regret_pref: 1.0000 | reward_optimal: 6.7036 | reward_pref: 2.2429 | reward_npref: -2.5033
[      25 points] regret_avg: 9.1245 | regret_pref: 1.0000 | reward_optimal: 16.1468 | reward_pref: 7.0222 | reward_npref: -1.2992
[      30 points] regret_avg: 9.7387 | regret_pref: 1.0000 | reward_optimal: 16.5586 | reward_pref: 6.8199 | reward_npref: -3.1734
[      35 points] regret_avg: 19.7245 | regret_pref: 1.0000 | reward_optimal: 16.2726 | reward_pref: -3.4519 | reward_npref: -14.9212
[      40 points] regret_avg: 21.3085 | regret_pref: 2.0000 | reward_optimal: 16.5352 | reward_pref: -4.7733 | reward_npref: -16.1271
[      45 points] regret_avg: 30.8226 | regret_pref: 3.0000 | reward_optimal: 29.3985 | reward_pref: -1.4242 | reward_npref: -7.2563
[      50 points] regret_avg: 36.2023 | regret_pref: 3.0000 | reward_optimal: 29.5585 | reward_pref: -6.6438 | reward_npref: -14.8584
[      55 points] regret_avg: 38.5279 | regret_pref: 3.0000 | reward_optimal: 35.9056 | reward_pref: -2.6222 | reward_npref: -12.3500
[      60 points] regret_avg: 41.1778 | regret_pref: 3.0000 | reward_optimal: 36.6227 | reward_pref: -4.5551 | reward_npref: -14.4414
[      65 points] regret_avg: 41.5391 | regret_pref: 3.0000 | reward_optimal: 37.6540 | reward_pref: -3.8852 | reward_npref: -13.9964
[      70 points] regret_avg: 43.9451 | regret_pref: 4.0000 | reward_optimal: 38.0101 | reward_pref: -5.9351 | reward_npref: -15.1659
[      75 points] regret_avg: 47.6172 | regret_pref: 5.0000 | reward_optimal: 42.7110 | reward_pref: -4.9062 | reward_npref: -13.9791
[      80 points] regret_avg: 47.7305 | regret_pref: 5.0000 | reward_optimal: 43.3658 | reward_pref: -4.3648 | reward_npref: -13.7093
[      85 points] regret_avg: 49.1449 | regret_pref: 6.0000 | reward_optimal: 45.3816 | reward_pref: -3.7633 | reward_npref: -11.6935
[      90 points] regret_avg: 53.6468 | regret_pref: 6.0000 | reward_optimal: 45.8026 | reward_pref: -7.8441 | reward_npref: -16.7209
[      95 points] regret_avg: 53.6468 | regret_pref: 6.0000 | reward_optimal: 57.2259 | reward_pref: 3.5792 | reward_npref: -11.6447
[     100 points] regret_avg: 54.7276 | regret_pref: 6.0000 | reward_optimal: 61.6765 | reward_pref: 6.9488 | reward_npref: -10.0967
[     105 points] regret_avg: 58.8671 | regret_pref: 6.0000 | reward_optimal: 62.1529 | reward_pref: 3.2858 | reward_npref: -16.3078
[     110 points] regret_avg: 59.8551 | regret_pref: 7.0000 | reward_optimal: 62.4824 | reward_pref: 2.6273 | reward_npref: -16.8290
[     115 points] regret_avg: 61.2218 | regret_pref: 7.0000 | reward_optimal: 62.6385 | reward_pref: 1.4167 | reward_npref: -24.3658
[     120 points] regret_avg: 62.0964 | regret_pref: 8.0000 | reward_optimal: 63.7932 | reward_pref: 1.6969 | reward_npref: -23.4896
[     125 points] regret_avg: 66.2261 | regret_pref: 9.0000 | reward_optimal: 64.4231 | reward_pref: -1.8031 | reward_npref: -26.0198
[     130 points] regret_avg: 68.1748 | regret_pref: 9.0000 | reward_optimal: 64.3211 | reward_pref: -3.8538 | reward_npref: -35.8008
[     135 points] regret_avg: 68.1748 | regret_pref: 9.0000 | reward_optimal: 74.9619 | reward_pref: 6.7871 | reward_npref: -31.7034
