[       5 points] regret_avg: 0.4988 | regret_pref: 1.0000 | reward_optimal: 0.4739 | reward_pref: -0.0249 | reward_npref: 0.1385
[      10 points] regret_avg: 0.9538 | regret_pref: 2.0000 | reward_optimal: 1.0163 | reward_pref: 0.0625 | reward_npref: 0.2327
[      15 points] regret_avg: 1.1180 | regret_pref: 2.0000 | reward_optimal: 1.4531 | reward_pref: 0.3352 | reward_npref: 0.4286
[      20 points] regret_avg: 1.3242 | regret_pref: 2.0000 | reward_optimal: 1.9676 | reward_pref: 0.6434 | reward_npref: 0.7118
[      25 points] regret_avg: 1.7874 | regret_pref: 3.0000 | reward_optimal: 2.4744 | reward_pref: 0.6870 | reward_npref: 0.9320
[      30 points] regret_avg: 2.1021 | regret_pref: 4.0000 | reward_optimal: 2.8051 | reward_pref: 0.7030 | reward_npref: 0.9827
[      35 points] regret_avg: 2.1021 | regret_pref: 4.0000 | reward_optimal: 3.6671 | reward_pref: 1.5650 | reward_npref: 1.4521
[      40 points] regret_avg: 2.5145 | regret_pref: 5.0000 | reward_optimal: 3.8904 | reward_pref: 1.3759 | reward_npref: 1.3624
[      45 points] regret_avg: 2.7291 | regret_pref: 5.0000 | reward_optimal: 4.3464 | reward_pref: 1.6173 | reward_npref: 1.5194
[      50 points] regret_avg: 3.1137 | regret_pref: 5.0000 | reward_optimal: 4.6528 | reward_pref: 1.5391 | reward_npref: 1.2742
[      55 points] regret_avg: 3.4698 | regret_pref: 5.0000 | reward_optimal: 5.0046 | reward_pref: 1.5348 | reward_npref: 1.1182
[      60 points] regret_avg: 3.7581 | regret_pref: 6.0000 | reward_optimal: 5.4138 | reward_pref: 1.6557 | reward_npref: 1.2791
[      65 points] regret_avg: 4.2635 | regret_pref: 7.0000 | reward_optimal: 5.7441 | reward_pref: 1.4805 | reward_npref: 1.1778
[      70 points] regret_avg: 4.5029 | regret_pref: 7.0000 | reward_optimal: 6.2417 | reward_pref: 1.7388 | reward_npref: 1.3604
[      75 points] regret_avg: 4.9606 | regret_pref: 8.0000 | reward_optimal: 6.5908 | reward_pref: 1.6302 | reward_npref: 1.2680
[      80 points] regret_avg: 5.2786 | regret_pref: 8.0000 | reward_optimal: 6.9969 | reward_pref: 1.7183 | reward_npref: 1.3259
[      85 points] regret_avg: 5.4129 | regret_pref: 8.0000 | reward_optimal: 7.5802 | reward_pref: 2.1673 | reward_npref: 1.5365
[      90 points] regret_avg: 5.6021 | regret_pref: 8.0000 | reward_optimal: 7.9440 | reward_pref: 2.3419 | reward_npref: 1.6842
[      95 points] regret_avg: 5.8247 | regret_pref: 8.0000 | reward_optimal: 8.8782 | reward_pref: 3.0535 | reward_npref: 1.9556
[     100 points] regret_avg: 6.2592 | regret_pref: 8.0000 | reward_optimal: 9.1345 | reward_pref: 2.8752 | reward_npref: 1.5375
[     105 points] regret_avg: 6.5435 | regret_pref: 8.0000 | reward_optimal: 9.4623 | reward_pref: 2.9188 | reward_npref: 1.5034
[     110 points] regret_avg: 6.7474 | regret_pref: 8.0000 | reward_optimal: 10.3376 | reward_pref: 3.5902 | reward_npref: 1.9338
[     115 points] regret_avg: 7.1914 | regret_pref: 9.0000 | reward_optimal: 10.8127 | reward_pref: 3.6213 | reward_npref: 2.0217
[     120 points] regret_avg: 7.4382 | regret_pref: 9.0000 | reward_optimal: 11.8434 | reward_pref: 4.4052 | reward_npref: 2.6840
[     125 points] regret_avg: 7.9483 | regret_pref: 9.0000 | reward_optimal: 12.2133 | reward_pref: 4.2650 | reward_npref: 2.4065
[     130 points] regret_avg: 8.3435 | regret_pref: 9.0000 | reward_optimal: 13.3239 | reward_pref: 4.9804 | reward_npref: 2.9946
[     135 points] regret_avg: 8.3435 | regret_pref: 9.0000 | reward_optimal: 14.3702 | reward_pref: 6.0268 | reward_npref: 3.2972
[     140 points] regret_avg: 8.5716 | regret_pref: 10.0000 | reward_optimal: 14.7645 | reward_pref: 6.1929 | reward_npref: 3.5787
[     145 points] regret_avg: 8.7969 | regret_pref: 10.0000 | reward_optimal: 15.1967 | reward_pref: 6.3997 | reward_npref: 3.5240
[     150 points] regret_avg: 9.0581 | regret_pref: 10.0000 | reward_optimal: 15.6044 | reward_pref: 6.5462 | reward_npref: 3.2738
[     155 points] regret_avg: 9.6474 | regret_pref: 10.0000 | reward_optimal: 15.9966 | reward_pref: 6.3492 | reward_npref: 3.0396
[     160 points] regret_avg: 10.4627 | regret_pref: 11.0000 | reward_optimal: 16.3477 | reward_pref: 5.8850 | reward_npref: 3.3907
[     165 points] regret_avg: 11.0167 | regret_pref: 12.0000 | reward_optimal: 17.1267 | reward_pref: 6.1101 | reward_npref: 3.6430
[     170 points] regret_avg: 11.4764 | regret_pref: 12.0000 | reward_optimal: 17.2713 | reward_pref: 5.7949 | reward_npref: 3.1207
[     175 points] regret_avg: 11.4764 | regret_pref: 12.0000 | reward_optimal: 18.0597 | reward_pref: 6.5833 | reward_npref: 3.4673
[     180 points] regret_avg: 11.7257 | regret_pref: 12.0000 | reward_optimal: 18.4735 | reward_pref: 6.7477 | reward_npref: 3.6245
[     185 points] regret_avg: 11.7257 | regret_pref: 12.0000 | reward_optimal: 18.6511 | reward_pref: 6.9254 | reward_npref: 3.4640
[     190 points] regret_avg: 11.9753 | regret_pref: 12.0000 | reward_optimal: 19.2650 | reward_pref: 7.2897 | reward_npref: 3.7299
[     195 points] regret_avg: 12.2912 | regret_pref: 13.0000 | reward_optimal: 19.7643 | reward_pref: 7.4731 | reward_npref: 3.9202
[     200 points] regret_avg: 12.5413 | regret_pref: 14.0000 | reward_optimal: 20.1427 | reward_pref: 7.6014 | reward_npref: 4.1185
[     205 points] regret_avg: 12.6052 | regret_pref: 14.0000 | reward_optimal: 21.2060 | reward_pref: 8.6008 | reward_npref: 4.8022
[     210 points] regret_avg: 12.6052 | regret_pref: 14.0000 | reward_optimal: 21.5318 | reward_pref: 8.9266 | reward_npref: 4.3938
[     215 points] regret_avg: 13.0673 | regret_pref: 14.0000 | reward_optimal: 23.0500 | reward_pref: 9.9827 | reward_npref: 4.7100
[     220 points] regret_avg: 13.2909 | regret_pref: 15.0000 | reward_optimal: 23.2978 | reward_pref: 10.0069 | reward_npref: 4.7522
[     225 points] regret_avg: 13.2909 | regret_pref: 15.0000 | reward_optimal: 24.0895 | reward_pref: 10.7986 | reward_npref: 5.2245
[     230 points] regret_avg: 13.9749 | regret_pref: 16.0000 | reward_optimal: 24.3623 | reward_pref: 10.3874 | reward_npref: 4.9032
[     235 points] regret_avg: 14.1271 | regret_pref: 16.0000 | reward_optimal: 24.8256 | reward_pref: 10.6985 | reward_npref: 5.1718
[     240 points] regret_avg: 14.3942 | regret_pref: 16.0000 | reward_optimal: 25.1544 | reward_pref: 10.7602 | reward_npref: 5.2248
