,timestep,rewdiff,config_name,seed
0,0.0,0.45,nsdpo_g0.3,2024
1,1.0,0.85,nsdpo_g0.3,2024
2,2.0,0.75,nsdpo_g0.3,2024
3,3.0,0.8,nsdpo_g0.3,2024
4,4.0,0.75,nsdpo_g0.3,2024
5,5.0,0.8,nsdpo_g0.3,2024
6,6.0,0.7,nsdpo_g0.3,2024
7,7.0,0.75,nsdpo_g0.3,2024
8,8.0,0.6,nsdpo_g0.3,2024
9,9.0,0.75,nsdpo_g0.3,2024
10,10.0,0.75,nsdpo_g0.3,2024
11,11.0,0.9,nsdpo_g0.3,2024
12,12.0,0.85,nsdpo_g0.3,2024
13,13.0,0.8,nsdpo_g0.3,2024
14,14.0,0.7,nsdpo_g0.3,2024
15,15.0,0.7,nsdpo_g0.3,2024
16,16.0,0.7,nsdpo_g0.3,2024
17,17.0,0.75,nsdpo_g0.3,2024
18,18.0,0.7,nsdpo_g0.3,2024
19,19.0,0.75,nsdpo_g0.3,2024
20,20.0,0.95,nsdpo_g0.3,2024
21,21.0,0.75,nsdpo_g0.3,2024
22,22.0,0.7,nsdpo_g0.3,2024
23,23.0,0.9,nsdpo_g0.3,2024
24,24.0,0.85,nsdpo_g0.3,2024
25,25.0,0.85,nsdpo_g0.3,2024
26,26.0,0.75,nsdpo_g0.3,2024
27,27.0,0.7,nsdpo_g0.3,2024
28,28.0,0.8,nsdpo_g0.3,2024
29,29.0,0.85,nsdpo_g0.3,2024
30,30.0,0.75,nsdpo_g0.3,2024
31,31.0,0.85,nsdpo_g0.3,2024
32,32.0,0.8,nsdpo_g0.3,2024
33,33.0,0.85,nsdpo_g0.3,2024
34,34.0,0.8,nsdpo_g0.3,2024
35,35.0,0.7,nsdpo_g0.3,2024
36,36.0,0.8,nsdpo_g0.3,2024
37,37.0,0.8,nsdpo_g0.3,2024
38,38.0,0.85,nsdpo_g0.3,2024
39,39.0,0.85,nsdpo_g0.3,2024
40,40.0,0.7,nsdpo_g0.3,2024
41,41.0,0.75,nsdpo_g0.3,2024
42,42.0,0.75,nsdpo_g0.3,2024
43,43.0,0.8,nsdpo_g0.3,2024
44,44.0,0.75,nsdpo_g0.3,2024
45,45.0,0.9,nsdpo_g0.3,2024
46,46.0,0.9,nsdpo_g0.3,2024
47,47.0,0.8,nsdpo_g0.3,2024
48,48.0,0.8,nsdpo_g0.3,2024
49,49.0,0.7,nsdpo_g0.3,2024
50,50.0,0.8,nsdpo_g0.3,2024
51,51.0,0.9,nsdpo_g0.3,2024
52,52.0,0.7,nsdpo_g0.3,2024
53,53.0,0.75,nsdpo_g0.3,2024
54,54.0,0.95,nsdpo_g0.3,2024
55,55.0,0.7,nsdpo_g0.3,2024
56,56.0,0.8,nsdpo_g0.3,2024
57,57.0,0.8,nsdpo_g0.3,2024
58,58.0,0.8,nsdpo_g0.3,2024
59,59.0,0.85,nsdpo_g0.3,2024
60,60.0,0.6,nsdpo_g0.3,2024
61,61.0,0.65,nsdpo_g0.3,2024
62,62.0,0.85,nsdpo_g0.3,2024
63,63.0,0.8,nsdpo_g0.3,2024
64,64.0,0.7,nsdpo_g0.3,2024
65,65.0,0.7,nsdpo_g0.3,2024
66,66.0,0.55,nsdpo_g0.3,2024
67,67.0,0.75,nsdpo_g0.3,2024
68,68.0,0.7,nsdpo_g0.3,2024
69,69.0,0.7,nsdpo_g0.3,2024
70,70.0,0.8,nsdpo_g0.3,2024
71,71.0,0.95,nsdpo_g0.3,2024
72,72.0,1.0,nsdpo_g0.3,2024
73,73.0,0.9,nsdpo_g0.3,2024
74,74.0,0.75,nsdpo_g0.3,2024
75,75.0,0.8,nsdpo_g0.3,2024
76,76.0,0.8,nsdpo_g0.3,2024
77,77.0,0.7,nsdpo_g0.3,2024
78,78.0,0.9,nsdpo_g0.3,2024
79,79.0,0.85,nsdpo_g0.3,2024
80,80.0,0.9,nsdpo_g0.3,2024
81,81.0,0.8,nsdpo_g0.3,2024
82,82.0,0.65,nsdpo_g0.3,2024
83,83.0,0.75,nsdpo_g0.3,2024
84,84.0,0.65,nsdpo_g0.3,2024
85,85.0,0.8,nsdpo_g0.3,2024
86,86.0,0.95,nsdpo_g0.3,2024
87,87.0,0.8,nsdpo_g0.3,2024
88,88.0,0.95,nsdpo_g0.3,2024
89,89.0,0.65,nsdpo_g0.3,2024
90,90.0,0.7,nsdpo_g0.3,2024
91,91.0,0.7,nsdpo_g0.3,2024
92,92.0,0.85,nsdpo_g0.3,2024
93,93.0,0.9,nsdpo_g0.3,2024
94,94.0,0.85,nsdpo_g0.3,2024
95,95.0,0.8,nsdpo_g0.3,2024
96,96.0,0.8,nsdpo_g0.3,2024
97,97.0,0.7,nsdpo_g0.3,2024
98,98.0,0.95,nsdpo_g0.3,2024
99,99.0,0.85,nsdpo_g0.3,2024
