[       5 points] regret_avg: 5.7616 | regret_pref: 0.0000 | reward_optimal: -0.0915 | reward_pref: -5.8531 | reward_npref: -8.1006
[      10 points] regret_avg: 15.2799 | regret_pref: 0.0000 | reward_optimal: -0.7381 | reward_pref: -16.0180 | reward_npref: -20.1222
[      15 points] regret_avg: 16.0851 | regret_pref: 0.0000 | reward_optimal: 5.8215 | reward_pref: -10.2636 | reward_npref: -18.6102
[      20 points] regret_avg: 18.7574 | regret_pref: 0.0000 | reward_optimal: 11.2842 | reward_pref: -7.4732 | reward_npref: -17.6410
[      25 points] regret_avg: 26.3364 | regret_pref: 1.0000 | reward_optimal: 20.4005 | reward_pref: -5.9359 | reward_npref: -11.8941
[      30 points] regret_avg: 33.2648 | regret_pref: 2.0000 | reward_optimal: 20.6961 | reward_pref: -12.5686 | reward_npref: -13.7515
[      35 points] regret_avg: 36.3713 | regret_pref: 2.0000 | reward_optimal: 20.8956 | reward_pref: -15.4757 | reward_npref: -17.3283
[      40 points] regret_avg: 36.5809 | regret_pref: 3.0000 | reward_optimal: 21.4197 | reward_pref: -15.1612 | reward_npref: -16.9556
[      45 points] regret_avg: 42.8371 | regret_pref: 4.0000 | reward_optimal: 21.6343 | reward_pref: -21.2028 | reward_npref: -17.6817
[      50 points] regret_avg: 46.8069 | regret_pref: 5.0000 | reward_optimal: 27.6060 | reward_pref: -19.2009 | reward_npref: -12.0771
[      55 points] regret_avg: 49.7588 | regret_pref: 6.0000 | reward_optimal: 27.0991 | reward_pref: -22.6597 | reward_npref: -12.5840
[      60 points] regret_avg: 57.0170 | regret_pref: 7.0000 | reward_optimal: 35.5883 | reward_pref: -21.4287 | reward_npref: -4.6197
[      65 points] regret_avg: 65.9361 | regret_pref: 7.0000 | reward_optimal: 51.4700 | reward_pref: -14.4660 | reward_npref: 0.3658
[      70 points] regret_avg: 74.1524 | regret_pref: 8.0000 | reward_optimal: 63.5909 | reward_pref: -10.5615 | reward_npref: 5.7435
[      75 points] regret_avg: 83.1760 | regret_pref: 8.0000 | reward_optimal: 63.1108 | reward_pref: -20.0652 | reward_npref: -7.2383
[      80 points] regret_avg: 85.1158 | regret_pref: 8.0000 | reward_optimal: 67.6920 | reward_pref: -17.4238 | reward_npref: -6.1064
[      85 points] regret_avg: 85.6464 | regret_pref: 8.0000 | reward_optimal: 67.9196 | reward_pref: -17.7268 | reward_npref: -7.6894
[      90 points] regret_avg: 86.2009 | regret_pref: 8.0000 | reward_optimal: 68.8707 | reward_pref: -17.3303 | reward_npref: -7.3863
[      95 points] regret_avg: 89.1655 | regret_pref: 8.0000 | reward_optimal: 74.9680 | reward_pref: -14.1975 | reward_npref: -4.6152
[     100 points] regret_avg: 93.2568 | regret_pref: 9.0000 | reward_optimal: 81.0931 | reward_pref: -12.1637 | reward_npref: -2.2232
[     105 points] regret_avg: 95.6344 | regret_pref: 10.0000 | reward_optimal: 81.8284 | reward_pref: -13.8060 | reward_npref: -3.1332
[     110 points] regret_avg: 96.7515 | regret_pref: 10.0000 | reward_optimal: 81.3281 | reward_pref: -15.4235 | reward_npref: -16.7788
[     115 points] regret_avg: 108.5020 | regret_pref: 11.0000 | reward_optimal: 81.1167 | reward_pref: -27.3854 | reward_npref: -20.6615
[     120 points] regret_avg: 113.7274 | regret_pref: 11.0000 | reward_optimal: 80.8900 | reward_pref: -32.8374 | reward_npref: -29.3042
[     125 points] regret_avg: 117.5558 | regret_pref: 11.0000 | reward_optimal: 81.2582 | reward_pref: -36.2976 | reward_npref: -35.9285
[     130 points] regret_avg: 122.2367 | regret_pref: 11.0000 | reward_optimal: 81.3085 | reward_pref: -40.9282 | reward_npref: -43.7140
[     135 points] regret_avg: 122.2367 | regret_pref: 11.0000 | reward_optimal: 81.9785 | reward_pref: -40.2582 | reward_npref: -44.7707
[     140 points] regret_avg: 122.5551 | regret_pref: 11.0000 | reward_optimal: 82.3362 | reward_pref: -40.2188 | reward_npref: -44.7761
[     145 points] regret_avg: 127.8026 | regret_pref: 12.0000 | reward_optimal: 82.9032 | reward_pref: -44.8994 | reward_npref: -45.4909
[     150 points] regret_avg: 128.0465 | regret_pref: 12.0000 | reward_optimal: 83.5192 | reward_pref: -44.5272 | reward_npref: -45.2116
[     155 points] regret_avg: 128.9332 | regret_pref: 13.0000 | reward_optimal: 85.2917 | reward_pref: -43.6416 | reward_npref: -43.9473
[     160 points] regret_avg: 131.7919 | regret_pref: 13.0000 | reward_optimal: 96.8246 | reward_pref: -34.9673 | reward_npref: -41.5682
[     165 points] regret_avg: 135.0928 | regret_pref: 13.0000 | reward_optimal: 96.7519 | reward_pref: -38.3409 | reward_npref: -46.3772
[     170 points] regret_avg: 135.0928 | regret_pref: 13.0000 | reward_optimal: 96.7221 | reward_pref: -38.3707 | reward_npref: -50.5413
[     175 points] regret_avg: 135.4144 | regret_pref: 14.0000 | reward_optimal: 97.2592 | reward_pref: -38.1551 | reward_npref: -50.2758
